"","x"
"325","CDC123"
"326","MCM10"
"327","PRPF18"
"328","FRMD4A"
"329","CDNF"
"330","HSPA14"
"331","DCLRE1C"
"332","RSU1"
"333","TRDMT1"
"334","STAM"
"335","NSUN6"
"336","PIP4K2A"
"337","ANKRD26"
"338","YME1L1"
"339","MASTL"
"340","WAC-AS1"
"341","WAC"
"342","MTPAP"
"343","BMS1"
"344","CXCL12"
"345","ZNF22"
"346","MARCH8"
"347","PARG"
"348","NCOA4"
"349","TIMM23"
"350","CSTF2T"
"351","ZWINT"
"352","CISD1"
"353","BICC1"
"354","ADO"
"355","NRBF2"
"356","JMJD1C"
"357","REEP3"
"358","HNRNPH3"
"359","DNA2"
"360","CCAR1"
"361","DDX50"
"362","DDX21"
"363","KIAA1279"
"364","SUPV3L1"
"365","SAR1A"
"366","PPA1"
"367","EIF4EBP2"
"368","MICU1"
"369","ECD"
"370","MRPS16"
"371","ANXA7"
"372","PPP3CB"
"373","PPP3CB-AS1"
"374","BMS1P4"
"375","CHCHD1"
"376","VCL"
"377","RPS24"
"378","EIF5AL1"
"379","FAM35A"
"380","NUTM2A-AS1"
"381","ATAD1"
"382","PTEN"
"383","IFIT3"
"384","KIF20B"
"385","RPP30"
"386","PCGF5"
"387","TNKS2"
"388","EXOC6"
"389","NOC3L"
"390","SORBS1"
"391","ALDH18A1"
"392","CCNJ"
"393","LCOR"
"394","C10orf12"
"395","ARHGAP19"
"396","RRP12"
"397","R3HCC1L"
"398","DNMBP"
"399","BLOC1S2"
"400","NDUFB8"
"401","MRPL43"
"402","PPRC1"
"403","NOLC1"
"404","ACTR1A"
"405","USMG5"
"406","PDCD11"
"407","SMC3"
"408","SHOC2"
"409","GPAM"
"410","ZDHHC6"
"411","CASP7"
"412","FAM160B1"
"413","TRUB1"
"414","HSPA12A"
"415","SHTN1"
"416","FAM204A"
"417","CACUL1"
"418","EIF3A"
"419","TIAL1"
"420","WDR11"
"421","IKZF5"
"422","BUB3"
"423","BCCIP"
"424","GLRX3"
"425","CFAP46"
"426","BET1L"
"427","IFITM3"
"428","LOC143666"
"429","TALDO1"
"430","RPLP2"
"431","SNORA52"
"432","OR7E12P"
"433","TRIM21"
"434","HBB"
"435","HBD"
"436","HBG1"
"437","HBG2"
"438","TRIM5"
"439","ARFIP2"
"440","MRPL17"
"441","TRIM66"
"442","RPL27A"
"443","SNORA45B"
"444","TMEM9B"
"445","TMEM41B"
"446","IPO7"
"447","ZNF143"
"448","WEE1"
"449","MTRNR2L8"
"450","EIF4G2"
"451","ZBED5"
"452","MICALCL"
"453","PARVA"
"454","TEAD1"
"455","CYP2R1"
"456","C11orf58"
"457","RPS13"
"458","NUCB2"
"459","HPS5"
"460","SVIP"
"461","CCDC34"
"462","LIN7C"
"463","KIF18A"
"464","ARL14EP"
"465","RCN1"
"466","CD59"
"467","FBXO3"
"468","LMO2"
"469","NAT10"
"470","CAT"
"471","PDHX"
"472","CD44"
"473","COMMD9"
"474","RAG1"
"475","API5"
"476","HSD17B12"
"477","ATG13"
"478","DDB2"
"479","PSMC3"
"480","PATL1"
"481","MS4A7"
"482","TMEM109"
"483","DDB1"
"484","TMEM138"
"485","CPSF7"
"486","SDHAF2"
"487","INCENP"
"488","EEF1G"
"489","GANAB"
"490","HNRNPUL2"
"491","POLR2G"
"492","TMEM179B"
"493","STX5"
"494","SNHG1"
"495","RARRES3"
"496","ATL3"
"497","COX8A"
"498","NUDT22"
"499","FKBP2"
"500","TRMT112"
"501","PRDX5"
"502","ARL2"
"503","CDCA5"
"504","FAU"
"505","SYVN1"
"506","DPF2"
"507","SLC25A45"
"508","FIBP"
"509","EIF1AD"
"510","BANF1"
"511","SF3B2"
"512","RAB1B"
"513","PPP1CA"
"514","AIP"
"515","CDK2AP2"
"516","GSTP1"
"517","NDUFV1"
"518","PPP6R3"
"519","CPT1A"
"520","MRPL21"
"521","RAB6A"
"522","UCP2"
"523","PPME1"
"524","PGM2L1"
"525","RPS3"
"526","ACER3"
"527","PAK1"
"528","CLNS1A"
"529","RSF1"
"530","AAMDC"
"531","INTS4"
"532","NDUFC2"
"533","ALG8"
"534","GAB2"
"535","PRCP"
"536","TMEM126B"
"537","PICALM"
"538","C11orf73"
"539","CTSC"
"540","CEP295"
"541","TAF1D"
"542","ANKRD49"
"543","CWC15"
"544","SRSF8"
"545","ENDOD1"
"546","CEP57"
"547","MTMR2"
"548","CCDC82"
"549","BIRC3"
"550","BIRC2"
"551","DYNC2H1"
"552","CARD16"
"553","AASDHPPT"
"554","CWF19L2"
"555","CUL5"
"556","ACAT1"
"557","NPAT"
"558","KDELC2"
"559","EXPH5"
"560","DDX10"
"561","SIK2"
"562","C11orf57"
"563","TIMM8B"
"564","SDHD"
"565","C11orf71"
"566","RBM7"
"567","REXO2"
"568","CADM1"
"569","PAFAH1B2"
"570","ATP5L"
"571","KMT2A"
"572","ARCN1"
"573","DDX6"
"574","RPS25"
"575","TRAPPC4"
"576","HYOU1"
"577","VPS11"
"578","HMBS"
"579","ARHGEF12"
"580","TBCEL"
"581","MIR100HG"
"582","STT3A"
"583","CHEK1"
"584","CDON"
"585","DCPS"
"586","APLP2"
"587","ZBTB44"
"588","LOC103611081"
"589","WNK1"
"590","ADIPOR2"
"591","DCP1B"
"592","RHNO1"
"593","PARP11"
"594","C12orf4"
"595","MRPL51"
"596","NCAPD2"
"597","CHD4"
"598","C12orf57"
"599","PHB2"
"600","LPCAT3"
"601","NANOG"
"602","NECAP1"
"603","M6PR"
"604","LOC374443"
"605","CLEC2D"
"606","CLEC2B"
"607","DDX47"
"608","PLBD1"
"609","ARHGDIB"
"610","PLEKHA5"
"611","LDHB"
"612","ST8SIA1"
"613","LRMP"
"614","MED21"
"615","PPFIBP1"
"616","MRPS35"
"617","CCDC91"
"618","IPO8"
"619","CAPRIN2"
"620","FAM60A"
"621","ALG10"
"622","ALG10B"
"623","ZCRB1"
"624","PPHLN1"
"625","ARID2"
"626","SCAF11"
"627","SLC38A2"
"628","LOC100288798"
"629","TMEM106C"
"630","PFKM"
"631","CCNT1"
"632","PRKAG1"
"633","KMT2D"
"634","TUBA1B"
"635","TMBIM6"
"636","BCDIN3D"
"637","RACGAP1"
"638","FAM186A"
"639","LARP4"
"640","ATF1"
"641","ACVR1B"
"642","KRT1"
"643","EIF4B"
"644","PFDN5"
"645","C12orf10"
"646","SP7"
"647","SP1"
"648","PRR13"
"649","PCBP2"
"650","ATF7"
"651","CBX5"
"652","SARNP"
"653","ORMDL2"
"654","CDK2"
"655","RAB5B"
"656","RPS26"
"657","PA2G4"
"658","RPL41"
"659","MYL6B"
"660","MYL6"
"661","SMARCC2"
"662","ANKRD52"
"663","PTGES3"
"664","NACA"
"665","SHMT2"
"666","R3HDM2"
"667","PIP4K2C"
"668","CDK4"
"669","TSFM"
"670","CTDSP2"
"671","C12orf66"
"672","TBK1"
"673","RASSF3"
"674","LLPH"
"675","TMBIM4"
"676","NUP107"
"677","MDM2"
"678","CPSF6"
"679","LYZ"
"680","CCT2"
"681","LINC01481"
"682","TSPAN8"
"683","TBC1D15"
"684","NAP1L1"
"685","SYT1"
"686","METTL25"
"687","C12orf29"
"688","CEP290"
"689","DCN"
"690","EEA1"
"691","MRPL42"
"692","SOCS2"
"693","CRADD"
"694","CEP83"
"695","NDUFA12"
"696","METAP2"
"697","LOC643770"
"698","ACTR6"
"699","UTP20"
"700","ARL1"
"701","HSP90B1"
"702","TDG"
"703","GLT8D2"
"704","CHST11"
"705","TMEM263"
"706","PWP1"
"707","CORO1C"
"708","ALKBH2"
"709","KCTD10"
"710","ANKRD13A"
"711","ARPC3"
"712","GPN3"
"713","VPS29"
"714","PPTC7"
"715","HVCN1"
"716","PPP1CC"
"717","ERP29"
"718","RPL6"
"719","PTPN11"
"720","OAS1"
"721","OAS2"
"722","RFC5"
"723","VSIG10"
"724","PEBP1"
"725","SUDS3"
"726","PRKAB1"
"727","RPLP0"
"728","COX6A1"
"729","TRIAP1"
"730","DYNLL1"
"731","POP5"
"732","MLEC"
"733","SETD1B"
"734","PSMD9"
"735","RSRC2"
"736","DENR"
"737","MPHOSPH9"
"738","TMED2"
"739","DDX55"
"740","EP400"
"741","MPHOSPH8"
"742","N6AMT2"
"743","XPO4"
"744","PARP4"
"745","MTMR6"
"746","RNF6"
"747","POLR1D"
"748","PAN3-AS1"
"749","PAN3"
"750","POMP"
"751","USPL1"
"752","BRCA2"
"753","N4BP2L2"
"754","RFC3"
"755","SPG20"
"756","EXOSC8"
"757","PROSER1"
"758","SLC25A15"
"759","WBP4"
"760","AKAP11"
"761","DNAJC15"
"762","SERP2"
"763","GTF2F2"
"764","ZC3H13"
"765","LCP1"
"766","NUDT15"
"767","MED4"
"768","LPAR6"
"769","SETDB2"
"770","RCBTB1"
"771","ARL11"
"772","RNASEH2B"
"773","VPS36"
"774","CKAP2"
"775","SUGT1"
"776","MZT1"
"777","DIS3"
"778","COMMD6"
"779","CLN5"
"780","FBXL3"
"781","MYCBP2"
"782","EDNRB"
"783","RNF219"
"784","ABCC4"
"785","DNAJC3"
"786","MBNL2"
"787","IPO5"
"788","GPR18"
"789","TPP2"
"790","LAMP1"
"791","CCNB1IP1"
"792","RPPH1"
"793","APEX1"
"794","PNP"
"795","RNASE6"
"796","CHD8"
"797","RAB2B"
"798","TOX4"
"799","METTL3"
"800","DAD1"
"801","ABHD4"
"802","MRPL52"
"803","PSMB5"
"804","C14orf119"
"805","NGDN"
"806","DHRS4L1"
"807","PSME1"
"808","PSME2"
"809","IPO4"
"810","TM9SF1"
"811","CHMP4A"
"812","NEDD8"
"813","DHRS1"
"814","GZMB"
"815","SCFD1"
"816","CFL2"
"817","SRP54"
"818","PPP2R3C"
"819","PSMA6"
"820","PNN"
"821","RPS29"
"822","LRR1"
"823","POLE2"
"824","NEMF"
"825","ATP5S"
"826","CDKL1"
"827","TMX1"
"828","FRMD6"
"829","GNG2"
"830","C14orf166"
"831","PSMC6"
"832","GNPNAT1"
"833","CNIH1"
"834","WDHD1"
"835","SOCS4"
"836","MAPK1IP1L"
"837","FBXO34"
"838","KTN1"
"839","AP5M1"
"840","NAA30"
"841","PSMA3"
"842","PSMA3-AS1"
"843","DAAM1"
"844","WDR89"
"845","MTHFD1"
"846","SPTB"
"847","MAX"
"848","ATP6V1D"
"849","EIF2S1"
"850","ARG2"
"851","VTI1B"
"852","SYNJ2BP"
"853","MED6"
"854","NUMB"
"855","ELMSAN1"
"856","AREL1"
"857","YLPM1"
"858","DLST"
"859","ACYP1"
"860","NEK9"
"861","TMED10"
"862","C14orf1"
"863","TTLL5"
"864","LOC100506603"
"865","VIPAS39"
"866","AHSA1"
"867","SPTLC2"
"868","SLIRP"
"869","SNW1"
"870","SEL1L"
"871","ZC3H14"
"872","TDP1"
"873","ATXN3"
"874","GOLGA5"
"875","IFI27"
"876","GSKIP"
"877","PAPOLA"
"878","VRK1"
"879","CCNK"
"880","EVL"
"881","WARS"
"882","PPP2R5C"
"883","RCOR1"
"884","TRAF3"
"885","C14orf2"
"886","ELK2AP"
"887","KLF13"
"888","FMN1"
"889","EMC7"
"890","EMC4"
"891","SLC12A6"
"892","NOP10"
"893","FAM98B"
"894","BMF"
"895","C15orf57"
"896","CHP1"
"897","OIP5-AS1"
"898","RTF1"
"899","RPAP1"
"900","MGA"
"901","VPS39"
"902","ZNF106"
"903","SNAP23"
"904","HAUS2"
"905","UBR1"
"906","CCNDBP1"
"907","EPB42"
"908","ADAL"
"909","TP53BP1"
"910","MFAP1"
"911","WDR76"
"912","EIF3J"
"913","SPG11"
"914","LOC100419583"
"915","EID1"
"916","TRPM7"
"917","AP4E1"
"918","RSL24D1"
"919","MNS1"
"920","TCF12"
"921","ADAM10"
"922","SLTM"
"923","CCNB2"
"924","GTF2A2"
"925","VPS13C"
"926","RPS27L"
"927","SNX22"
"928","CSNK1G1"
"929","TRIP4"
"930","ZNF609"
"931","SPG21"
"932","CLPX"
"933","SLC24A1"
"934","DENND4A"
"935","TIPIN"
"936","RPL4"
"937","ZWILCH"
"938","LCTL"
"939","AAGAB"
"940","PIAS1"
"941","FEM1B"
"942","ANP32A"
"943","GLCE"
"944","RPLP1"
"945","TLE3"
"946","UBL7"
"947","SCAMP2"
"948","COMMD4"
"949","SIN3A"
"950","SNUPN"
"951","UBE2Q2"
"952","ETFA"
"953","HMG20A"
"954","DNAJA4"
"955","WDR61"
"956","IREB2"
"957","MORF4L1"
"958","ZFAND6"
"959","STARD5"
"960","C15orf40"
"961","SEC11A"
"962","MRPL46"
"963","MRPS11"
"964","ABHD2"
"965","FANCI"
"966","LRRC28"
"967","MEF2A"
"968","CHSY1"
"969","VIMP"
"970","NPRL3"
"971","HBM"
"972","HBA2"
"973","HBA1"
"974","AXIN1"
"975","MRPL28"
"976","NME4"
"977","HN1L"
"978","RNPS1"
"979","TBC1D24"
"980","ATP6V0C"
"981","ZNF213-AS1"
"982","CREBBP"
"983","TFAP4"
"984","HMOX2"
"985","ALG1"
"986","CARHSP1"
"987","ATF7IP2"
"988","RSL1D1"
"989","NTAN1"
"990","RRN3"
"991","KIAA0430"
"992","FOPNL"
"993","ABCC1"
"994","RPS15A"
"995","ARL6IP1"
"996","ITPRIPL2"
"997","GDE1"
"998","C16orf62"
"999","KNOP1"
"1000","ACSM5"
"1001","THUMPD1"
"1002","DCUN1D3"
"1003","LYRM1"
"1004","DNAH3"
"1005","METTL9"
"1006","EEF2K"
"1007","UBFD1"
"1008","NDUFAB1"
"1009","ZKSCAN2"
"1010","NSMCE1"
"1011","CCDC101"
"1012","C16orf54"
"1013","SRCAP"
"1014","MIR762HG"
"1015","ORAI3"
"1016","PYCARD"
"1017","LONP2"
"1018","NOD2"
"1019","CHD9"
"1020","FTO"
"1021","OGFOD1"
"1022","MT2A"
"1023","NUP93"
"1024","FAM192A"
"1025","CIAPIN1"
"1026","POLR2C"
"1027","KATNB1"
"1028","CSNK2A2"
"1029","CKLF"
"1030","CMTM1"
"1031","NAE1"
"1032","ATP6V0D1"
"1033","CTCF"
"1034","ACD"
"1035","NUTF2"
"1036","NFATC3"
"1037","CIRH1A"
"1038","NIP7"
"1039","CYB5B"
"1040","AARS"
"1041","SF3B3"
"1042","AP1G1"
"1043","ATXN1L"
"1044","ZFHX3"
"1045","PSMD7"
"1046","RFWD3"
"1047","GABARAPL2"
"1048","KARS"
"1049","TERF2IP"
"1050","CMC2"
"1051","GINS2"
"1052","COX4I1"
"1053","ZCCHC14"
"1054","APRT"
"1055","GLOD4"
"1056","RNMTL1"
"1057","SRR"
"1058","TSR1"
"1059","PAFAH1B1"
"1060","PELP1"
"1061","MED11"
"1062","PSMB6"
"1063","RABEP1"
"1064","DHX33"
"1065","DERL2"
"1066","TXNDC17"
"1067","MED31"
"1068","XAF1"
"1069","CTDNEP1"
"1070","ELP5"
"1071","EIF5A"
"1072","TMEM256"
"1073","POLR2A"
"1074","TP53"
"1075","NAA38"
"1076","TRAPPC1"
"1077","VAMP2"
"1078","PFAS"
"1079","RPL26"
"1080","RNF222"
"1081","STX8"
"1082","MAP2K4"
"1083","ZNF286A"
"1084","UBB"
"1085","LRRC75A-AS1"
"1086","DRG2"
"1087","SHMT1"
"1088","ALDH3A2"
"1089","SPECC1"
